"lat","long","ntest","npos","elevation"
6.2878,-10.4671,50,14,17.82621
6.5725,-10.45111,46,10,104.8507
6.56667,-10.02615,43,11,119.09543
6.73333,-10.28775,50,10,144.10921
6.01667,-10.03595,48,9,19.03508
6.26667,-10.335,50,13,16.99954
6.13541,-9.63333,43,9,137.7536
6.2375,-10.06875,50,11,101.75
6.3869,-9.73333,47,11,147.12867
5.7354,-9.7856,43,0,26.61054
6.2209,-10.2428,43,1,126.85216
6.5352,-9.8252,48,10,191.12602
5.88727,-9.63597,48,1,72.26974
5.74213,-9.51708,50,1,83.0528
6.63372,-9.60016,50,9,179.05409
6.65111,-9.38333,43,7,219.63379
6.81111,-9.9021,50,10,275.38584
6.9021,-10.23525,47,15,168.74192
6.8161,-10.36668,49,17,153.82902
7.00111,-10.24976,43,15,182.72222
6.86667,-9.5365,45,7,209.68256
7.08544,-9.58333,49,10,293.68001
7.071,-9.18336,50,9,266.37234
7.30432,-9.28937,41,8,391.74481
7.16595,-9.58689,50,14,328.63853
6.46867,-8.71667,50,13,243.0389
6.7205,-8.87524,43,8,248.74826
6.73689,-8.46873,50,12,261.13335
6.9686,-8.55428,45,9,314.68551
7.0003,-8.95224,42,8,235.96129
7.13577,-8.48523,49,11,324.1416
7.2201,-8.60247,50,9,368.04498
7.36858,-8.405,50,14,355.43776
7.58543,-8.53692,50,16,528.46907
6.46668,-10.63381,50,12,43.45274
6.73333,-10.53345,46,14,106.91602
6.51668,-10.78335,50,4,26.98081
6.60034,-11.03333,50,3,16.39052
6.76667,-10.78333,46,10,62.49984
6.89954,-11.03332,50,10,59.90005
6.85113,-11.11667,50,6,28.54618
6.86667,-11.40335,43,5,15.95256
7.10087,-11.23333,50,10,67.8572
6.78333,-11.26667,43,1,11.7496
7.0556,-10.76678,50,9,154.26286
7.11333,-9.83333,46,14,232.60584
7.23334,-10.05003,43,9,221.21223
7.28333,-10.45111,49,15,307.24208
7.38333,-9.46667,50,14,306.9956
7.55011,-9.48335,50,12,339.23185
7.7333,-10.11668,46,9,350.72552
7.88333,-9.45111,50,16,468.89988
7.73368,-9.59167,50,10,350.43568
7.91111,-9.46,44,9,462.81669
7.96667,-10.1405,50,11,461.4393
8.15075,-9.98333,43,8,530.01579
8.21667,-9.601,50,14,524.92094
8.26708,-10.0708,48,10,509.12362
8.46911,-9.7378,50,11,585.21129
8.26667,-10.2928,43,10,420.64098
7.80427,-10.39267,42,9,413.50931
4.42552,-7.63575,45,1,30.28219
4.60997,-7.57095,50,3,29.0447
4.43693,-7.78333,47,1,12.56866
4.71667,-7.78532,50,10,67.58882
4.80258,-7.60417,41,9,39.58975
4.8757,-8.01877,50,8,131.33305
4.60425,-8.28526,48,1,10.60796
4.7206,-8.16912,40,3,21.68275
4.83582,-8.46604,50,4,59.05072
4.93765,-8.26858,44,8,74.88933
5.12097,-8.37167,50,10,97.90856
5.13579,-8.23661,42,9,132.04637
4.88517,-8.77,49,2,27.77351
5.10192,-9.02098,40,2,19.23788
5.25448,-9.28523,50,4,34.3673
5.46856,-8.78337,50,11,117.13212
5.5188,-9.17026,46,10,58.7872
5.56967,-8.53597,50,10,196.56726
5.23667,-7.88527,50,8,222.79488
5.02615,-7.57715,48,11,71.72164
5.28765,-7.4928,50,12,112.04979
5.48595,-7.90191,40,7,261.60762
5.56875,-8.12262,50,6,255.482
5.65198,-7.86856,48,10,204.13043
6.07087,-7.83582,50,13,210.40515
6.10265,-8.10248,50,9,238.36232
6.23445,-8.51712,50,10,295.5264
6.25395,-8.81862,43,9,168.63179
6.28727,-8.27417,50,11,281.69646
